Column1,Á¦Ç°,age,skintype,review,rating,class
15,¼½½º ¹ã,28,º¹ÇÕ¼º,»ö ³Ê¹«ÀÌ»µ¿ä  ³¿»õµµ ÁÁ¾Æ¼­ ±âºÐÀüÈ¯ÇÒ¶§ ±Â,4,±àÁ¤
16,¼½½º ¹ã,23,º¹ÇÕ¼º,ÇâÀº ¸»ÇÒ °Íµµ ¾ø°í ¸öÀÌ ºÎµå·¯¿öÁö´Â ¹è¾²¹ã Áß¿¡¼­´Â ´Ü¿¬ÄÚ ÀÌ°Ô °©,5,±àÁ¤
17,¼½½º ¹ã,33,º¹ÇÕ¼º,ÀÌ¸§´ä°Ô ·Î¸ÇÆ½ÇØ¿ä  Ã¹³¯¹ã °­Ãß    ,5,±àÁ¤
18,¼½½º ¹ã,21,°Ç¼º,Çâµµ ³Ñ³Ñ ÁÁ°í ºÐÀ§±âµµ ÁÁ°í 1À§ ¹è¾²¹ãÀÎ ÀÌÀ¯°¡ ÀÖÁÒ ,5,±àÁ¤
19,¼½½º ¹ã,28,Áß¼º,ÀÌ°Å ÈÄ±â¸¦ ¾ÈÀû¾ú´Ù´Ï   ¸î³âÀü¿¡ ·¯½¬ ÀÔ¿åÁ¦¸¦ Ã³À½Á¢ÇÏ°í ±¸¸ÅÇÒ¶§ºÎÅÍ °¡Àå ¸¹ÀÌ »ç¿ëÇÑ ¹è¾²¹ã   ·¯½¬ ¹è¾²¹ãÀÌ ÀÏÈ¸¿ëÀ¸·Î Àú·ÅÇÏ´Ù°í ÇÒ¼ö´Â ¾ø´Âµ¥ ¾ê´Â ±×³ª¸¶ Á» Àú·ÅÇÑÆíÀÌ°í ¹°¿¡Ç®¸é ²ÉÀÙ°°Àº°Íµµ ¶°´Ù³à¼­ Á¤¸» ÇÑ¹ø¾¿ ºÐÀ§±â ³¾¶§ ÁÁÀ½ ·¯½¬ ¹è¾²¹ãÁß¿¡ ÄÃ·¯°¡ ÁøÇÑ Á¦Ç°µéÀº »ç¿ëÇÏ°í³ª¼­ È®½ÇÈ÷ Âø»öÀÌ »ý±â±âµµÇÏ°í ¿åÁ¶¿¡µµ ¹¯¾î¼­ ºÎ´ã½º·¯¿îµ¥ ÀÌ Á¦Ç°Àº Âø»öµµ ¾ø°í ¹«³­ÇÏ°Ô »ç¿ëÇÏ±â ÁÁÀ½,4,±àÁ¤
20,¼½½º ¹ã,27,º¹ÇÕ¼º,±×³É Àú³É À¢¸¸ÇÑ ·¯½¬ ÀÔ¿åÁ¦ Á¤µµÀÇ ´À³¦ÀÌ¿¡¿ä  ·¯½¬ Å¸ Á¦Ç°¿¡ ºñÇØ ÇâÀÌ ¾ÆÁÖ ¿À·¡°¡°í ±×·± ´À³¦Àº ¾Æ´ÏÁö¸¸ Å©°Ô È£ºÒÈ£ °¥¸± ÇâÀº ¾Æ´Ï¶ó ¹«³­ÇÑ ÀÔ¹®À¸·Î ÁÁ¾Æ¿ä,3,ºÎÁ¤
21,¼½½º ¹ã,25,º¹ÇÕ¼º,·¯½¬ ³¿»õ ³Ê¹« µ¶ÇØ¼­ ½È¾îÇÏ´ø »ç¶÷ÀÌ¾ú´Âµ¥¿ä  ÀÔ¿åÁ¦ ³Ê¹« ÁÁ´Ù°í ±×·¡¼­ ¼Ó´Â¼À Ä¡°í ÇÑ¹ø ½áºÃ¾î¿ä  ±×·±µ¥ ¹°¿¡ Ç®¾îÁö´Ï±î ³Ê¹« ÇâÀÌ ÀºÀºÇÏ°í Åå ½îÁöµµ ¾Ê°í ÄÚ¾ÆÇÂ Çâ¼öÀÇ ²ÉÇâ±â°¡ ¾Æ´Ï¶ó Á¤¸» ºÎµå·´°í °è¼Ó ¸Ã°í ½Í¾îÁö´Â Çâ±â¿´¾î¿ä  ²É Çâ±â°¡ ÁÖµÇ°í¿ä  ³Ê¹« ÁÁ¾Æ¼­ ¿À·¡ ´ã±×°í ÀÖ¾ú´õ´Ï »ì¿¡µµ ³¿»õ°¡ »ìÂ¦ ¹è¾ú¾ú´Âµ¥ ±× »ì°¯³¿»õ°¡ ¾ó¸¶³ª ÁÁ´øÁö  ¾Æ ÀÌ Á¦Ç°Àº °ÅÇ°ÀÌ ³ªÁö ¾Ê´Â Á¦Ç°ÀÌ¿¡¿ä  ³Ê¹« ÁÁ¾Æ¼­ ¹Ùµð ½ºÇÁ·¹ÀÌµµ »çºÃ´Âµ¥  ¹Ùµð ½ºÇÁ·¹ÀÌ´Â Á¶±Ý ÄÚ¸¦ Åå ½î´Â ÇâÀÌ ³²´Â´ä´Ï´Ù   ¿©Æ° ´Ù¸¥ ÀÔ¿åÁ¦¸¦ ¸¹ÀÌ ½áº¸Áö´Â ¾Ê¾ÒÁö¸¸ ÇöÀç±îÁö·Î ¾ê°¡ ¿øÅ¾ÀÌ¿¡¿ä    Àú´Â Æò¼Ò¿¡ º£ÀÌºñÆÄ¿ì´õ  ÇÇ¿À´Ï¿Í °°Àº ÀºÀºÇÏ°í Åå ½îÁö ¾Ê´Â ÇâÀ» ÁÁ¾ÆÇÕ´Ï´Ù  È¤Àº ¾ÆÁÖ¾ÆÁÖ ¾àÇÑ ¸Ó½ºÅ© ÇâÀ» ÁÁ¾ÆÇØ¿ä  ¿©¼º Çâ¼ö·Î ÈçÇÑ ÇÃ·Î¶ö °è¿­Àº ¼¼¼­ Àß ¸ø¾²´Â ÆíÀÌ¿¡¿ä  ¾ÖÃÊ¿¡ ³¿»õ¿¡ ±²ÀåÈ÷ ¿¹¹ÎÇØ¼­ Çâ¼ö ÀÚÃ¼¸¦ ¸¹ÀÌ ¾²´Â ÆíÀÌ ¾Æ´Õ´Ï´Ù ,5,±àÁ¤
22,¼½½º ¹ã,21,°Ç¼º,»ö»óµµ ³Ê¹« ¿¹»Ú°í Çâµµ ÁÁ´ë¼­ ¿©Çà°¬À» ¶§ ºÐÀ§±â ³¾ ¸ñÀûÀ¸·Î ±¸¸ÅÇß¾î¿ä  Àº±Ù ¾çÀÌ Ä¿¼­ Å« ¿åÁ¶¿¡µµ ÇÏ³ª·Î ÃæºÐÇß½À´Ï´Ù  ÀÛÀº ¿åÁ¶¿¡ »ç¿ëÇÒ ¶§´Â ³ª´²¼­ »ç¿ëÇÏ¸é ÁÁÀ» °Í °°¾Æ¿ä  ÇâÀÌ ÁøÂ¥ ³Ê¹« ÁÁ¾Ò¾î¿ä   ²ÉÀÌ¶û ºñ´©ÇâÀÌ ÀºÀºÇÏ°Ô ÆÛÁý´Ï´Ù  ³ªÁß¿¡ ³²´Â ²Éµµ ³Ê¹« ±Í¿©¿ü¾î¿ä  ¸ñ¿å ÈÄ¿¡ ÇÇºÎ°¡ ºÎµéºÎµéÇØÁø ´À³¦ÀÌ ³µ¾î¿ä  ´Ù¸¸ ÁøÂ¥ ÇÇºÎ¿¡ ÁÁÀº Áö´Â Àß ¸ð¸£°Ú½À´Ï´Ù   ¾Æ¹«·¡µµ »ö¼Ò¶û Çâ·á¶û ¾öÃ» µé¾î°¬À»Å×´Ï±î¿ä  °¡°Ý Á¤¸»   ÇÑ ¹ø¿¡ »ç¶óÁ®¼­ ³Ê¹« ¾Æ½¬¿ï ¸¸Å­ ºñ½ÎÁö¸¸ ±×·¡µµ °¡²û¾¿ ±âºÐÀüÈ¯ ¿ëµµ·Î´Â µüÀÎ °Í °°¾Æ¿ä  ,4,±àÁ¤
23,¼½½º ¹ã,19,Áö¼º,ÀÚ½º¹ÎÇâÀÌ¶ó ³Ê¹« ÁÁ¾Æ¿ä ÀÔ¿åÁ¦°¡ ºÐÀ§±â¸¸ ³»´Â°ÇÁÙ¾Ë¾Ò´Âµ¥ ·¯½¬ ¼½½º¹ã Á¦Ç°Àº ¾²°í ³­ µÚ ÇÇºÎ°¡ ¸Å²öÇØÁö°í »ì³¿»õ¿¡ ÀÚ½º¹Î ÇâÀÌ ³²¾ÆÀÖ¾î¿ä ¾Æ½¬¿î°Ç °ÅÇ°ÀÌ ¾Æ´Ï¶ó ¿ÀÀÏÇüÀÎ °Í °°¾Æ¿ä,5,±àÁ¤
24,¼½½º ¹ã,28,º¹ÇÕ¼º,Çâµµ ÁÁ°í ¿¹»Ú°í ¼±¹°¹Þ¾Æ »ç¿ëÇß´Âµ¥ ±âºÐÀüÈ¯ÇÏ±â ÁÁ¾Æ¿ä °¡°ÝÀÌ Á» ³ª°¡Áö¸¸ °¡²û ³ª ¸¦ À§ÇØ ¼±¹°¿ëÀ¸·Î »ç±â ÁÁÀºµí¿ä,5,±àÁ¤
25,¼½½º ¹ã,25,º¹ÇÕ¼º,¼±¹°¹Þ¾Æ¼­ ½è´Âµ¥ Â¯Á¶À½   ²ÉÀÙ ¸¶Áö¸·¿¡ Æ¢¾î³ª¿À´Â°Íµµ ±Í¿©¿ü¾î¿ä ,4,±àÁ¤
26,¼½½º ¹ã,35,Áß¼º,¿©Çà°¥ ¶§ ¿åÁ¶ Å« °÷À¸·Î °¡¼­ ±âºÐ³»±â ÁÁ¾Æ¿ä   Çâµµ ÀºÀºÇÏ°í ºÎµå·¯¿ö ½ºÆ®·¹½º Ç®±â µü ÁÁ½À´Ï´Ù  ÄÚ·Î³ª·Î ¿©±âÀú±â ´Ù´Ï±â ºÒÆíÇÑ ¿äÁò Áý¿¡¼­  È£ÅÚ¿¡¼­ ÈÞ°¡º¸³»¸é¼­ Èú¸µÅÛÀ¸·Î °­Ãß ,4,±àÁ¤
27,¼½½º ¹ã,30,º¹ÇÕ¼º,¹°¿¡ ´ã±¸¸é Ç®¾îÁú ¶§µµ »¡¸® Ç®¾îÁöÁö ¾ÊÀ½ ¾É¾Æ¼­ ¸ÛÇÏ´Ï ÇÎÅ© »ö ¹° ÆÛÁö´Â°Å º¸¸é¼­ Çâ ¸Ã°í ÀÖÀ¸¸é ÀÌ¸¸ÇÑ Èú¸µÀÌ ¾ö¶ä   ÇÑÂü ¸ö ´ã±¸°í ³ª¿À¸é ÇÇºÎ°¡ º¸µéº¸µé ¹Ý¾¿ »Ç°³¼­ »ç¿ëÇØµµ ÁÁÀ½  ÇâÀº 19Çâ  ¾Ä°í ³ª¿À¸é Çâµµ ÇÇºÎ¿¡ ³²¾Æ¼­ ¿òÁ÷ÀÏ ¶§¸¶´Ù ÇâÀÌ ÆúÆú³²  1°³´Â ¹æÇâÁ¦·Î ¾²°í ½Í¾î ºñ´Ò ¾È ¹þ±â°í Ä§½Ç Àå½ÄÀå À§¿¡ ¿Ã·Á³ù´Âµ¥ ÇâÀÌ ¾öÃ» ¿À·¡°¨   ÀÏº»²¨¶ó¼­ ¾Æ½±°ø  ºñ½Î¼­ ¾Æ½±´ç ,4,±àÁ¤
28,¼½½º ¹ã,27,Áß¼º,ÀÌ¸§ÀÌ ¾ß¸©ÇØ¼­ »ç¿Ô´Ù´Â ³²Ä£    ¿©Ä£ÀÌ »ç¿Íµµ ³²Ä£ÀÌ »ç¿Íµµ ¾î´À ´©°¡ »ç¿Íµµ ³Ñ ±Í¿©¿ï µíÇÑ ÀÌ¸§°ú Çâ  ÇâÀº ÀÌ¸§Ã³·³ ¼³·¹´Â ¸ÅÈ¤ÀûÀÎ ÀÚ½º¹ÎÇâ°ú Å¬¶ó¸® ¼¼ÀÌÁö°¡ ¼¯ÀÎ ÇâÀÌ¿¹¿ä  ÇÑ¸¶µð·Î ³Ê¹«³Ê¹« ÁÁ´Ù     ÀÌ ÇâÀÌ ÁÁ´Ù¸é ¹Ùµð½ºÇÁ·¹ÀÌµµ ÀÖÀ¸´Ï ±¸¸ÅÇØº¸½Ã´Â °Íµµ ÁÁÀ» °Í °°¾Æ¿ä   ÀÌ¸§À» ÀÌ¾ß±âÇØÁÖ°í »ç¿ëÇØº¸¸é ½±°Ô ºÐÀ§±â¸¦ ¶ß°Ì°Ô ¸¸µé ¼ö ÀÖÀ» °Å¿¹¿ä   °æÇè´ã   ¼½½º¹ãÀÌ¶ó´Â ÀÌ¸§Ã³·³ »ó´ë¸¦ À¯È¤ÇØº¸¼¼¿ä ,4,±àÁ¤
29,¼½½º ¹ã,26,¹Î°¨¼º,ÁøÂ¥ ÃÖ°­  žˆ½Ã ´Ù¸¥ Ãµ¿¬ÀÔ¿åÁ¦ ½áµµ ·¯½¬¸¸Å­Àº ¸ÚÀÌ±è ¼½½º¹ã Çâ ÁøÂ¥ °³ÂÀ  ,5,±àÁ¤
30,¼½½º ¹ã,24,º¹ÇÕ¼º,Çâµµ ÀºÀºÇÏ°í ¿¹»Ú°í ±âºÐÀüÈ¯¿ëÀ¸·Î »ç¿ëÇÏ±â ÁÁÀº ÀÔ¿åÁ¦ÀÔ´Ï´ç,4,±àÁ¤
31,¼½½º ¹ã,26,º¹ÇÕ¼º,°¡Àå ¹«³­ÇÏ°Ô »ç¿ëÇÏ´Â ¹è¾²¹ãÀÔ´Ï´Ù  ¼±¹°·Î ÁöÀÎµéÇÑÅ× ¸î¹ø Áá´Âµ¥ ´Ùµé ÈÄ±â°¡ ÁÁ¾Ò¾î¿ä  ¹Û¿¡ ¸ø³ª°¡´Â ÀÌ·± ½Ã±¹¿¡ È¥ÀÚ Á¶¿ëÈ÷ À½¾ÇµéÀ¸¸é¼­ ¸ñ¿åÀ» Áñ±â´Â °Ô ³ª¸§ÀÇ ¼ÒÈ®ÇàÀÌÁÒ   »ç¿ëÇÏ°í ³ª¸é ÇÇºÎ°¡ º¸µéº¸µéÇÑ°Ô ±âºÐÀÌ Âü ÁÁ¾Æ¿ä ÁÁÀº ÇâÀº ´ýÀÌ°í¿ä ,4,±àÁ¤
32,¼½½º ¹ã,23,°Ç¼º,ÀÏ´Ü µðÀÚÀÎ ºÎÅÍ°¡ ¿¹»µ¼­ 1Â÷ ¸¸Á·ÇÏ°í¿ä  ¹ãÀÌ Ç®¾îÁö¸é¼­ ¾È¿¡ ÀÖ´ø ºñ´©²ÉÀÙÀÌ ³ª¿À´Âµ¥ ´öºÐ¿¡ ·Î¸ÇÆ½ÇÑ ºÐÀ§±â ³¾ ¶§ ÃÖ°íÀÔ´Ï´Ù   Çâµµ ÀÎÀ§ÀûÀÌÁö ¾Ê°í Àû´çÈ÷ ÀºÀºÇÑ Á¤µµ¿¹¿ä ,5,±àÁ¤
33,¼½½º ¹ã,27,º¹ÇÕ¼º,·¯½¬¸ÅÀå Çâ ÁÁ¾ÆÇÏ´Â »ç¶÷ÀÌ¶ó¸é ÁøÂ¥ ±Ø±Ø±Ø±ØÈ£ ÀÏµíÇÑ ¹è½º¹ãÀÔ´Ï´Ù   ³Ê¹« ÁÁ¾Æ¿ä   ÇÇºÎµµ ºÎµéºÎµéÇØÁö°í ¹Ý½Å¿å ÇÏ°í³ª´Ï ¸ö¿¡ ÇâÀÌ ³²¾ÆÀÕ¾î¼­ ¿òÁ÷ÀÏ¶§¸¶´Ù ³ª¿ä,5,±àÁ¤
34,¼½½º ¹ã,26,º¹ÇÕ¼º,ÀÏ´Ü »öÀº Á¤¸» Á¤¸» ¿¹»µ¿ä  ±×·¡¼­ ºÐÀ§±â¸¦ ³»°Å³ª Èú¸µÇÏ°í ½ÍÀº ³¯¿¡´Â ÃßÃµÇÕ´Ï´Ù  ÇÏÁö¸¸ ¹°¿¡ ³Ö¾úÀ»¶§ ÇâÀÌ Ç³ºÎÇÏ°Ô ³ª°Å³ª ÇÏÁö´Â ¾Ê¾Ò½À´Ï´Ù  º¸Åë »çÀÌÁîÀÇ ¿åÁ¶¿¡´Â ¹Ý°³¾¿¸¸ ³Ö¾îµµ ÃæºÐÇÒ °Í °°¾Æ¿ä  ÇÏ³ª¸¦ ´Ù ³Ö¾îµµ Å©°Ô ´Ù¸£Áö´Â ¾Ê´õ¶ó±¸¿ä  ºÐÀ§±â¿ëÀ¸·Î ÃßÃµÇÕ´Ï´Ù ,3,ºÎÁ¤
35,¼½½º ¹ã,32,º¹ÇÕ¼º,±âºÐ ÀüÈ¯¿ëÀ¸·Î ³Ê¹«³ª ÁÁÀº Á¦Ç°ÀÔ´Ï´Ù Æ¯È÷ ¾î¶² ÀÌº¥Æ®°¡ ÀÖÀ» ¶§ ¾îµð¸¦ ³î·¯ °¥ ¶§ °¡Á®°¡¼­ À°Á¶¿¡¼­ ¾²¸é Á¤¸» ±âºÐ ÀüÈ¯À¸·Î ¾ÆÁÖ ÁÁÀº Á¦Ç°ÀÔ´Ï´Ù ÇâÀÌ ³Ê¹« ÁÁ¾Æ¿ä,4,±àÁ¤
36,¼½½º ¹ã,24,°Ç¼º,È­Àå½Ç ¼±¹Ý¿¡ º¸°üÇØµ×´Âµ¥ È­Àå½Ç µé¾î°¥¶§¸¶´Ù ÁÁÀº ³¿»õ°¡ ³ª¼­ ¹æÇâÁ¦·Î ½áµµ µÇ°Ú´Ù´Â »ý°¢ÀÌ µéÁ¤µµ¿´¾î¿ä  À¯¸íÇÑ¸¸Å­ ¹°¿¡ Àß³ì°í ¸ñ¿å ÈÄ¿¡µµ ³ë°ï³ë°ï °³¿îÇØ ¿ä   Å©±â°¡ Ä¿¼­ µÎ¹ø ³ª´²¾²¸é ÁÁÀºµ¥ ¹ÝÀ¸·Î ÀÚ¸£´Â°Ô ³Ê¹« Èûµì´Ï´ç ¸ñ¿åÇÏ±â Àü¿¡ Áø´Ù»©´Â ´À³¦  ,5,±àÁ¤
37,¼½½º ¹ã,27,¹Î°¨¼º,Àü »ý°¢º¸´Ù ³Ê¹« º°·ç¿´¾î¿ä Çâµµ µüÈ÷ ÁÁÁø¾Ê°í ±×·¸´Ù°í ÇÇºÎ°¡ ºÎµå·¯¿öÁö°Å³ª Æ¯º°ÇÑ ´À³¦Àº ÀüÇô,3,ºÎÁ¤
38,¼½½º ¹ã,24,°Ç¼º,ÈÄÈÄ   ÇÑ¹ø Å«¸¾¸Ô°í »ç¼­ ½áºÃ³×¿ä  °ÅÇ° º°·Î ¾ø±¸ Çâ±ßÇÏ´Ï ±âºÐÀüÈ¯ °â Àß ½è¾î¿ä  ,4,±àÁ¤
