Column1,제품,age,skintype,review
31,드링크업 오버나이트 수분 마스크,28,건성,메가버섯 라인 새로 나왔을 때 테스트 해보러 갔다가 추천으로 사왔는데 인생 수면팩을 만났습니다 두껍게 발리지도 않으면서 보습력이 너무 좋더라구요 수면팩치고 흡수도 빠른편이라 끈적임도 없어서 다음날 얼굴에 먼지 왕창 묻어있지도 않습니다 성분도 순한지 눈시림도 없어요 가격이 좀 있긴하지만 재구매할 용의가 있습니다 너무 잘쓰고 있어요 
32,드링크업 오버나이트 수분 마스크,35,복합성,피부에 힘이없고 수분감이 부족할때 자기전 듬뿍올려주면 다음날 아침 초크초크 한 피부가 되있음
33,드링크업 오버나이트 수분 마스크,24,건성, 총 평 성분은 맘에 안 드나 효과 하나는 제대로라 버릴 수가 없어 성분 알레르기 주의성분이 3 4개 들어가 있고 피이지가 2 3개 들어있는데 피이지보다 알레르기 주의성분이 신경쓰여서 벌점 후려쳤음 외국 브랜드는 향때문에 알레르기 성분을 다수 때려넣는데 왜 그러냐 정말 오렌지나 레몬같은 시트러스 계열에 예민하신 분들도 피하시길 진정효과 내가 술먹으면 한잔만 먹어도 가슴 위부터 얼굴 손바닥까지 벌개지는 사람인데 집와서 화장지우고 이거 하나 바르고 자면 아침에 멀쩡하다 술 먹고 피부 뒤집어질까봐 걱정 될 때 마다 이걸 바르고 잠 7
34,드링크업 오버나이트 수분 마스크,51,민감성,다음날 화장 잘 먹었으면 하는날에 바릅니다 매일 슬리핑팩이란게 있는줄도 모르고 있다가 처음 입문한 템 입니다 제 피부가 민감성인데 화끈거리거나 자극은 없었구요 자기전에 세안 다 마친 후 듬뿍 바르면 다음날 피부보고 놀라실 수도 있어요 단점이 있다면 추워도 이불을 얼굴까지 당길 수 없다는 단점이 있네요 
35,드링크업 오버나이트 수분 마스크,31,건성,넘좋아요 촉촉하고 다음날 피부 촉촉탱탱 면세에서 샀는데 향도 너무 좋아서 바르면 기분 죠음 
36,드링크업 오버나이트 수분 마스크,32,건성,보습력이 좋으면서 너무 기름지지 않아요 신기한게 바르면서 좀 무거운 유분감이 많은 느낌이 들어서 좁쌀 생길까 불안했는데 흡수도 잘 되어있고 피부도 탱탱해짐 각질제거한 다음 하고 자면 더 효과 좋음 수분을 채워준다기 보다는 있는 수분을 잘 잡아주는 느낌 영양감도 어느정도 있구 만족함 
37,드링크업 오버나이트 수분 마스크,37,복합성,성분은 그닥 내세울만한진모르겠지만 확실히 수분감은 최고예요 일반 수분크림은 자고일어나면 베게에 다 묻어나거나 다 증발한 느낌이라면 오버나이트 마스크는 피부에 착 달라붙어 수분을 지켜주는느낌이예요 세수할때 확실히 눈에띄게 촉촉해서 밤에 수분크림대신 발라주는 효자템입니다
38,드링크업 오버나이트 수분 마스크,39,복합성,그런날있죠 너무 피곤해서 아무것도 하기싫을때 그런날 마스팩도 사치라고 피곤함의 절정의 순간 필요한 아이템 저는 그렇게 사용해요 그런면에서 무난하게 다음날 적당히 촉촉하고 향도 편안한 향이에요
39,드링크업 오버나이트 수분 마스크,27,중성,마스크로 관리가 필요한데 너무 귀찮고 피곤한날 정말 딱이었어요 백화점에서 오리진스 각질관리 해주는 워시오프팩이 약간 자극적인데 일주일에 한번 그걸 썻을때 마무리는 이 드링크업마스크로 해주라고 하더라구요 그러면 정말 다음날 피부결이 차이나요 다만 저는 좋았지만 약간 새콤달콤한 향이 호불호가 갈릴것같아요 
40,드링크업 오버나이트 수분 마스크,25,건성,다음날 일어났을때 물세안 했을때 그 부드러움이 너무 좋아요 예민한 피부인데도 병다른 트러블 없이 잘 사용했습니다
41,드링크업 오버나이트 수분 마스크,31,건성,전 요즘 좋은 제품들이 많이서 굳이 이 가격에 성분 그럭저럭 저는 재구매의사 없고 이 수면팩 보습력 은 좋은 것 같아요 그러나 굳이 크게 눈에띄게 좋은 장점은 없어서 아쉬워요
42,드링크업 오버나이트 수분 마스크,27,민감성,좋아여 완전 촉촉하구 슬리핑팩으로 너무 좋아요 다음날 아침에 보면 얼굴에 남는것도 없고 다 흡수되어있더라구요 단 하나의 단점이 있다면 향이 나쁘진 않은데 좀 쎄서 살짝 적응기간이 필요해요 
43,드링크업 오버나이트 수분 마스크,32,건성,헐 시코르에서 조그만 거 사봤는데 진짜 촉촉하고 너무 괜찮아요 귀차니즘 때문에 팩 슬리핑팩만 쓰는데 넘 만족입니다 제 기준 향은 구려요 유일한 단점
44,드링크업 오버나이트 수분 마스크,28,건성,건조한 날에 이거 하나만 바르고 자도 다음날 아침에 촉촉한 피부를 만날수있어요 수면팩의 신세계를 경험하게 해준 제품이에요
45,드링크업 오버나이트 수분 마스크,30,복합성,복숭아 향나는 수면팩입니다 일단 씻어낼 필요도 없고 그냥 바르고 자면 되니까 편해서 좋아요 크림보단 가볍고 에센스보단 무거워요 
46,드링크업 오버나이트 수분 마스크,30,복합성,시코르에서 호기심에 샘플 작은거 써봤는데 진짜 속건조까지 잡아주는 느낌이에요 본품구매하려구요
47,드링크업 오버나이트 수분 마스크,24,복합성,엄마께서 밤에 보일러때문에 너무 건조하시다면서 주문하신 제품 역시 비싼값 
48,드링크업 오버나이트 수분 마스크,34,복합성,가격도 저렴하고 튜브형이라 사용도 편해서 손이 잘가는 아이템 향기는 버베나 느낌의 허브향이 옅게 나고 발림성도 좋다 두껍게 올려도 흡수가 잘되는 편이라 신경 안씀 아침에는 사용하지 않아서 화장하고 밀리는지는 모르겠다 거의 매일 사용해도 트러블이나 부담이 없고 겨울에는 오일과 섞어서 사용하기도 함
49,드링크업 오버나이트 수분 마스크,33,복합성,좋아요 근데 솔직히 이 제품 바르고 푹 잔다고 해서 갑자기 수분충전되어 있고 그러진 않는듯 오리진스 좋아해서 제품 많이 사용 중인데 쏘쏘입니다 마음의 위안으로 2주에 한번정도 쓰는 
50,드링크업 오버나이트 수분 마스크,34,복합성,나이트용 리브온 마스크팩인데 금방 흡수되는 편이어서 크림에 가까운것 같아요 건조하신분들은 겨울철에는 보통수준의 수분크림 바르는거랑 큰 차이없으실거같아요 그래서 나이트팩용도라면 여름가을정도 계절이나 건성아니신분들이어야할듯 냄새가 망고나 복숭아스러운데 은은하게 씨있는 부분냄새느낌으로 달달해서 좋아요
51,드링크업 오버나이트 수분 마스크,24,민감성,바르면 분명 효과는 좋다 끈적임이나 유분기도 없는데 다음날 아침에 촉촉한거 보면 효과는 진짜 최고 근데 향 진짜 최악이다 머리 아플라 그런다 망고향 과일향 너무 이상해서 적응이 안된다 계속 코끝을 맴돈다 
52,드링크업 오버나이트 수분 마스크,30,복합성,하도 좋다고 해서 면세점에서 세트로 된거 질렀는데 정말 좋더라 향은 좀 텁텁한 과일향 비슷한게 나고요 되게 많이 바르는데 트러블 안났어요 분명히 기름이 도는거 같았는뎈 정말 데일리용 인거 같슴니당 마스크팩을 해야할거같은데 진짜 너무 귀찮을때 바르면 됩니닼 그래서 저는 술마시고 다음날을 위해 바르기도 합니다 누구 공항에좀 가주라 부탁좀하게 굿굿인 이유는 제기준에서 향이 불호는 아니지만 호도 아니라서 
53,드링크업 오버나이트 수분 마스크,29,지성,오리진스 제품 특유의 향을 좋아하는데 이 제품 역시 향이 좋음 한통 정도는 써볼만한듯 하지만 가격이랑 성분 생각하면 이 제품보다 더 좋은게 시중에 많이 나왔기 때문에 재구매 의사는 없음 
54,드링크업 오버나이트 수분 마스크,38,민감성,성분이 그닥인데 복합성에 민감한 알러지성 피부인 저는 겨울철 및 환절기에 딱히 큰 트러블없이 잘썼어요 너무 마 니 바른 날은 간지러울때도 있었으나 컨디션 좋은 날은 멀쩡 했습니당 물론 매일 쓰지않고 술마신 날이나 사우나 갔다 나올때 두툼하게 바르고 집에와 꿀잠자면 그렇게 좋더라구요 샘플포함 용량으론 9통 정도 사용했는데 유독 건조한 날 토너 사용후 단독으로 발라주었습니다 팩전에 무얼 바르기엔 무거운 타입의 수면팩이에요 쫀득한 타입 여행시 밤에쓸 기초는 이거 하나만 가져가면 팩한듯 피부가 편안해져서 좋아하는 팩이에요 
55,드링크업 오버나이트 수분 마스크,29,복합성,향도 좋구 바르고자면 피부가 편안하게 보습되는 느낌이에옹
56,드링크업 오버나이트 수분 마스크,35,복합성,정말 좋아하던 애정템이었어요 밤에 바르고자면 과하지않게 촉촉한 느낌이 좋았는데 성분이 안좋더라구요 그래서 중단했어요 
57,드링크업 오버나이트 수분 마스크,29,건성,시코르에서 3500원 짜리 사서 써보니 진짜 다음날 피부 모찌모찌한 기분 들게 해요 향도 호불호 갈리는데 전 호에요 진짜 본품 구매 할려고요 
58,드링크업 오버나이트 수분 마스크,38,복합성,향이 강한 편 약간 오렌지 환타향 같은게 나는데 특히 거슬리지는 않았음 팩은 수면팩치고 많이 기름지지도 않고 깔끔한 발림성임 효과는 수분크림 두텁게 바른것과 비슷함 드라마틱하진 않고 밤새 보습 잘됐네 정도의 효과 트러블 유발은 없었음 스페셜 케어라고 하기엔 부족하고 적당한 데일리케어용인듯 
59,드링크업 오버나이트 수분 마스크,26,복합성,향이 정말정말 기분 좋은 향인데 효과는 그다지 가격에 비해 엄청나다는 생각은 못해봤어요 바르고자나 안바르고자나 차이가 없어서 잘 안챙겨바르게된다는 재구매의사 없어용
60,드링크업 오버나이트 수분 마스크,47,복합성,여름엔 기름 장난아니고 찬바람 불면 바로 각질 올라오면서 화장 붕붕 뜨는 열라 구린 피부의 소유자인 나 여름엔 가끔 겨울엔 수시로 간편하게 바르고 자면 아침까지 촉촉함이 유지 각질 잠재우고 화장 잘먹고 완전 좋으다 다만 가격이 미울뿐 그래도 구린 피부를 위해 계속 써주리 
61,드링크업 오버나이트 수분 마스크,33,건성,몇년째 쓰는 최애템 이에요 특히 향이 너무 좋고 다음날 일어나면 피부가 영양을 그대로 흡수한듯 수분감 넘쳐요
62,드링크업 오버나이트 수분 마스크,21,건성,화장품 사러 갈 때 언니가 완전 추천해서 인터넷에 작은 버전을 찾아서 샀는데 무슨 향인지 모르겠지만 너무 좋은 냄새가 나서 기분좋게 잤어요 밤에 듬뿍 발랐다가 아침에 싶고 화장하면은 하루종일 화장 절대 안떠요 큰 버전으로 사고 싶지만 돈이 너무 없네요 하지만 가격대를 보면 그 가격으로 좀 더 좋은거 살 수 있을 거 같기도 하네요 
63,드링크업 오버나이트 수분 마스크,28,건성,수분팩 여러개 쓰다가 여기로 정착 향도좋고 우선 바르고 자면 그다음날 피부가 맨들맨들해져요 화장도 엄청 촵촵 잘먹어요 약간 꾸덕하지만 발림성도 좋고 다 좋습니다 수분감 많은 젤타입의 수분크림이랑 섞어서 발라도 너무 좋고 평생 쓸꺼에요 
64,드링크업 오버나이트 수분 마스크,35,건성,수분크림 샀더니 샘플로 줘서 써보다가 좋아서 직접 구입해 쓰고 있어요 자기 전에 바르고 자면 다음 날 확실히 피부가 촉촉하고 윤이 나요 화장도 잘 먹어요 
65,드링크업 오버나이트 수분 마스크,28,건성,사실가격 이제 봤음 선물 받은거라서 막썼는데 일단 저는 건성이구요 건조해지면 모공 늘어나고 트러블 나는 피부라서 나이트케어는 꼭 유수분이 가득해야 됩니다 그리고 요즘 피지도 조금씩 올라와서 이거 바르고 자는데 일단 전 좋아요 일단 아침까지 촉촉하구요 전날 트러블짜고 바르면 진정되있어요 냄새는 제취향이아니지만 일단제품이좋습니다 이거쓰다가 다른걸로 못갈아 탈듯 
66,드링크업 오버나이트 수분 마스크,28,민감성,선물받아서 써봤는데 좋아요 요즘피부예민해서 에탄올이 성분위쪽에잇어서 안썼는데 평이좋길래 혹시나하고써봤더니 짱좋 트러블고안나고 수분감이짱짱해서 이거바르면 피부가 스파하고나왓을때같아요 지성인오빠도 제방와서 몰래훔쳐바르다 몇번걸렷움 약간영양감잇어서 매일은아니고 주2회정도 발라주고잇어요 
67,드링크업 오버나이트 수분 마스크,29,건성,차앤박 프로폴리스수면팩 침대옆에 같이 있는 수면팩 특유의 냄새때문에 먼저 개봉했지만 안썼는데 어느날 이렇게 두었다가 유통기한 끝내 버릴것 같아서 쓰기 시작했는데 촉촉해요 진짜 아침까지 촉촉 악건성인 저에게는 좋은 수면팩이었습니당 냄시가 호불호 갈릴것같아서 별은 하나 뺏어요 그치만 바르다보면 정들어요 킁킁 
68,드링크업 오버나이트 수분 마스크,26,건성,나만 이거향이 별론가 약간 차향 같은게 나는거같은데 향이 강해도 너무강함 효과보다 향이 더거슬려서 못쓰겠음 효과도 난 잘 모르겠다 
69,드링크업 오버나이트 수분 마스크,42,복합성,용량이 너무 커요 향 좋고 발림 무난하고 모든게 무난한제품 이거 하나가지고 수분이 굉장하진않고요 기초 다 바르고도 수분이 모자랄때 보충해주려고 한번더 바르고 자요
70,드링크업 오버나이트 수분 마스크,33,건성,향이 좋다 뭔가 자연의 향 스러운데 기분 좋은 향 밤에 자기전에 크림 대신 바르면 굳굳
71,드링크업 오버나이트 수분 마스크,38,건성,수분마스크 정말 좋아요 건성피부인데 밤에 바르고 자면 다음날 피부속이 촉촉하게 차오른 느낌 암튼 재구매 의사있엉요
72,드링크업 오버나이트 수분 마스크,42,건성,다소 무게감이 있긴하지만 수면후 세안시 보드라운 내피부를 만날수있어좋았음 리치한 질감이 부담스럽다면 비추지만 갠적으로 리치한 느낌을 좋아해서리 재구매의향 매우있음
73,드링크업 오버나이트 수분 마스크,34,복합성,나쁘지 않고 그렇다고 확 좋아지는 느낌은 없고 평타는 하는 느낌 향기가 좋아서 자주 쓰게 되요 
74,드링크업 오버나이트 수분 마스크,32,건성,향은 진짜 좋아요 팩 자체는 촉촉한 수분크림 듬뿍 얹고 자는거랑 별차이없는듯
75,드링크업 오버나이트 수분 마스크,32,건성,이거 바르고 자고 다음날 일어나면 진짜 피부가 달라져있어요 근데향이 너무 인위적인건 좀 찜찜 
76,드링크업 오버나이트 수분 마스크,30,중성,오리진스 처음 사용하는데 샘플받고 좋아서 바로 구매하러갔음 요즘처럼 건조한 날씨에 촉촉하고 좋음 재구매 의사 있음 
77,드링크업 오버나이트 수분 마스크,29,건성,짱좋음 이거바르고 자고일어나면 진짜 피부가 수분을 먹었나 착각 암튼 나한텐 엄청잘맞는 제품 냄새도 좋음 
78,드링크업 오버나이트 수분 마스크,35,민감성,이거 싸졌는데 그래서 더 좋음 귀차니즘의 저녁에 바르고 자면 초크초크해짐 향기도 넘나좋고 핵꿀템 
79,드링크업 오버나이트 수분 마스크,34,건성,이름대로 드링크업 스킨케어 하기 귀찮은날 환절기 팩은 과하고 영양은 부족한 날 이거 하나 바름 담날 아침 피부느낌이 다름 모찌모찌 손가락에 착착 붙는 탱탱 차오르는 느낌이랄까 악건성인데도 아침에 씻어내야할만큼 유분기가 남으니 지성에게는 한겨울에 쓰기 괜찮을 듯 해외여행 갈때마다 꼭 사는 면세템이오
80,드링크업 오버나이트 수분 마스크,33,복합성,향이 강한 편 약간 무거운 크림타입이지만 부드럽게 얼굴에 발림 만사가 귀찮은 날 바르기 딱 간편하게 얼굴이 촉촉촉촉촉촉해짐
81,드링크업 오버나이트 수분 마스크,29,민감성,처음엔 발라도 촉촉한것같지도 않고 아무 느낌없어서 뭐야 이거 했는데 안바르면 확실히 당기고 다음날 화장이 잘 안먹어요 반대로 이걸 바르고 자면 화장이 잘먹음 극건성인데 뭘발라도 엄청 건조하고 당기는날 이거 바르면 바로 피부가 안건조하고 진정됨 신기한게 누가봐도 발랐을때 수분가득해서 엄청 촉촉한 제형이 아님 피부가 편안해하고 안건조해진다는게 맞는듯 짱짱
82,드링크업 오버나이트 수분 마스크,26,건성,그냥 살짝 수분감 생기는정도 냄세는 엄청 좋아요
83,드링크업 오버나이트 수분 마스크,31,복합성,향이 너무 강하고 이거쓰면 꼭 좁쌀이 올라온다
84,드링크업 오버나이트 수분 마스크,35,건성,각질 케어하고 난 뒤나 야근하고 만사 귀찮거 피곤할 때 쓰기 좋음 
85,드링크업 오버나이트 수분 마스크,33,중성,굉장한 드라마팅한 효과는 모르겠으나 다크써클이 옅어짐 낌짝놀람 
86,드링크업 오버나이트 수분 마스크,29,건성,향이 일단 너무좋고 촉촉한데 여름에 쓰기엔 너무 무거워요 건성에겐 강추
87,드링크업 오버나이트 수분 마스크,33,복합성,친구한테 선물받아서 써봤는데 발림이 약간 무거운 거 같기도 해서 걱정했는데 왠걸 완전 좋음 수분부족형 지성이라 겔형 투명비스무리한 슬리핑팩 썼었는데 그건 그 담날 걍 그랬는데 이건 나한테 잘 맞음 여름에는 가벼운 걸로 갈아탈 거 같지만 환절기 겨울에는 지성한테 추천 
88,드링크업 오버나이트 수분 마스크,31,복합성,우선 바를때 향이 진 짜 좋아요 사실 효과가있는지 눈으로 드라마틱하게 볼 수는 없지만 화장은 진짜 잘먹어요 그걸로 좀 효과 보는듯 전 다 쓰면 다시 살 생각이에요 재구매의사 있음 화장할때 기분이 좋아용 제일 큰건 향 향 
89,드링크업 오버나이트 수분 마스크,39,복합성,음 개인차있는듯 한통을 비우도록 아무런 효과를 모르겠어서 나빠지지않았음 됫지하고 잊혀진 제품
90,드링크업 오버나이트 수분 마스크,29,지성,수분부족형지성임 좁쌀 화농성여드름가끔 일단 향 너무좋음 내영혼이 무슨 과일천국에가서 축복받고오는거같은 그런향임 요아이는 내 첫 슬리핑 팩이였는데 맨첨에샀을때 쓰는법을몰라서 난감했음 스킨케어다하고 바르고 자는건지 스킨케어하지않고 바르고자는건지 모르겠어서 토너만 바르고 자고일어낫을때는 좋아진느낌을 못느낌 그냥 평소와 같았음 나중에 스킨케어 하고나서 쓰는거라는걸 알고나서 써봤을때는 정말 아침에일어났을때 수분부족때문에 따갑고 붉은피부가 좋아졌음 보통 이상한 유분기있는 제품들쓰면 나는 즉각적으로 간지러우면서 트러블이나는데 요아이는 트러블하나도안생김 수분채워주는데 짱좋 
91,드링크업 오버나이트 수분 마스크,33,민감성,쓰고나서 좋아졌는지 나빠졌는지 알수없는 제품 
92,드링크업 오버나이트 수분 마스크,36,복합성,난이거로션대신 밤에바르고잠 담날화장 잘먹고 화학냄새가별로안나고 순함 듬뿍 발라도 부담이없음 여드름안남
93,드링크업 오버나이트 수분 마스크,37,민감성,내인생최악 오리진스 여드름하나없던피부가 오리진스사용후 지금몇년째 어마어마한여드름피부로바뀜 성인여드름날시기였던건진몰라도 오리진스라인썼다가피부과에 700은갖다준거같음
94,드링크업 오버나이트 수분 마스크,27,건성,이거 듬뿍 바르고 자면 진짜 촉촉해져요 근데 너무 되직한 제형이라 좀 답답해요 음 진짜 천 마스크를 얼굴에 쓰고 자는 느낌 바르고 나서의 느낌은 제 취향은 아니에요 그걸 다 감안하더라도 너무 효과가 좋아서 애정하고 있습니당
