,Unnamed: 0,제품,age,skintype,review
20,20,껌딱지 시트 마스크 어성초 스티커,27,민감성,진정 쿨링되는 에센스 느낌이 좋았어요 근데 에센스가 약간 무거운 느낌이 있어서 약간 답답한 느낌이 있었어요 다음날 뾰루지 하나가 올라왔네요 
21,21,껌딱지 시트 마스크 어성초 스티커,21,건성,시트가 되게 얇고 부드러워요 안에 내용물도 많은거같아요 하지만 가격이 비싸서 다른거씁니다 
22,22,껌딱지 시트 마스크 어성초 스티커,31,건성,할인때면 꼭 쟁여놓는 팩 1일1팩하기 좋은 진정팩인거같아요
23,23,껌딱지 시트 마스크 어성초 스티커,26,복합성,이거 완전 좋음 화장품 상해서 피부 뒤집어졌을 때 요거 두개 쓰니까 복구 되더라구여 올리브영 세일할때 같이사면 좋아용
24,24,껌딱지 시트 마스크 어성초 스티커,19,민감성,개학 전에 기분 낸다고 처음 사봤던 제품인데 감탄했잖아요 껌딱지라는 이름답게 붙이고 그냥 앉아있어도 흘러내리는거 1도 없고 여드름 왕건이 하나 있었는데 다음날 일어나니까 진정되서 가라앉아 있었어요 마스크시트도 맨날 커서 접고 목까지 하고 그랬는데 이거는 그렇게까지 크지 않아서 살짝만 접어도 되서 너무 좋았어요 팩 안에 용액도 많이 남아있어서 다음날 아침 스킨케어로도 사용했습니다 중요한 날 있을 때 이거 무조건 쓸 거 같아요 
25,25,껌딱지 시트 마스크 어성초 스티커,29,건성,에센스가 진짜 많이들어있어요 꺼내면 뚝뚝 떨어질정도 얼굴에 붙이면 쫀쫀하게 엄청 잘 달라붙어요 이래서 껌딱지 팩이구나 싶어요 마스크 시트가 너무 크면 머리카락에까지 팩이 붙어서 싫은데 얘는 크기가 딱 적당해서 좋아요 올리브영에서 세일할때 사면 좋아요
26,26,껌딱지 시트 마스크 어성초 스티커,26,민감성,너무 유명한 입소문템 소문나는 이유가 있습니다 한번 써보고 반해서 트러블 진정용 팩은 얘만 써요 착 달라붙는 감촉도 좋고 효과도 최고 안 쓸 이유가 없습니다
27,27,껌딱지 시트 마스크 어성초 스티커,25,지성,가격이 비싼편이지만 올리브영에서 세일할때 반값할 때 샀어요 반 값이여도 이천원이지만 사실 저렴한 다른 마스크팩과 크게 다른점은 잘 모르겠어요 
28,28,껌딱지 시트 마스크 어성초 스티커,23,지성,팩 이름처럼 정말 피부에 쫙 달라붙는 느낌이고 어성초가 잘 맞는 피부라 진정 효과도 좋아서 항상 재구매하는 제품 에센스도 엄청 많이 들어 있어서 그 부분도 너무 만족하는 제품입니당
29,29,껌딱지 시트 마스크 어성초 스티커,26,민감성,울긋불긋한 여드름 진정효과 아주 좋아요
30,30,껌딱지 시트 마스크 어성초 스티커,38,건성,한때 1일1팩 엄청 했던 사람으로 이것저것 마스크들 많이 사용했는데 요 어성초 마스크팩 시트 진짜 얇고 촥 달라붙어서 좋았음 돌아다니기도 편하고 대신 처음 붙일때 잘못하면 망 미백만 사용해봤는데 마스크후 드라마틱한 환함은 없지만 어느정도 정돈된 느낌이 들어서 만족
31,31,껌딱지 시트 마스크 어성초 스티커,30,건성,가장 자주 구매하는 마스크팩이에요 살짝 리치한 앰플 제형으로 영양을 채워주는 기분이라 관리하는듯한 느낌이 들어서 자주 써요
32,32,껌딱지 시트 마스크 어성초 스티커,27,중성,밀착력이 좋아서 팩붙이고 움직이기 좋고 에센스가 많이 들어있어서 팔다리에 바르기도 좋아요 홍조가 있고 피부열감도 있는편인데 트러블 진정에 많은 도움이 되었어요 순하고 촉촉해서 팩하고 나면 피부가 보들보들 하고 편하게 느껴져요 에센스 흡수가 잘되어서 다음날 화장도 잘먹어요 보습도 오래 지속되고 촉촉하고 끈적이지 않아서 꾸준히 사용하고 있어요
33,33,껌딱지 시트 마스크 어성초 스티커,20,민감성,세상 제일 좋음 왜 유명한 지 알겠음 부들부들하고 피부에 딱 붙어서 좋았음
34,34,껌딱지 시트 마스크 어성초 스티커,20,건성,다들 좋다고 했는데 저는 잘 효과도 그닥 못 봤고 일단 액이 넘 끈적했어요 정말 껌딱지처럼 이런 효과를 노린 거겠지만 호불호가 있지 않을까 싶네요 
35,35,껌딱지 시트 마스크 어성초 스티커,27,복합성,에센스가 넉넉히 들어있고 잔정효과가 좋아요 껌딱지 마스크 답게 밀착력이 좋아서 팩 붙이고 활동하기 좋구여 제품력도 만족이라 쟁여놓고 쓰고 있어요 앞으로도 쭉 재구매 예정입니다 춫천 
36,36,껌딱지 시트 마스크 어성초 스티커,30,복합성,그냥 세일하길래 사봣는데 진정효과 쩔어요 강추강추
37,37,껌딱지 시트 마스크 어성초 스티커,27,건성,진정효과 좋아요 민감피부인데 트러블 안나서 잘 쓰고 있어요
38,38,껌딱지 시트 마스크 어성초 스티커,25,복합성,에센스가 정말 많이 들어있어서 다른 부위에 바르기 좋지만 시트를 꺼낼 때 바닥에 주르륵 흘러서 저는 좋지 않았어요 시트가 부드러워서 피부에 자극이 없었고 에센스가 쿨링감과 촉촉함을 줘서 팩을 하고 난 다음 피부가 부드러워 짐을 느꼈습니다 
39,39,껌딱지 시트 마스크 어성초 스티커,29,복합성,쫀쫀하고 좋아요 수분감보다는 영양 흡수 잘되는 스탈
40,40,껌딱지 시트 마스크 어성초 스티커,34,건성,일단 왜 껌인줄 알겠는 촉감이에요 손으로 잘 안펴지고 이상해서 아 괜히 샀나 싶었는데 얼굴에쫙 달라붙어서 이게 흡수가 잘 되고있다는 느낌이 들어요 하고나니 피부가 탱탱해진 것 같은 느낌이 들어서 괜찮았어요
41,41,껌딱지 시트 마스크 어성초 스티커,34,건성,홍조가 잘 올라오고 피부 열감도 잘 올라오는 타입입니다 속건조까지 잘 잡아주는지는 모르겠으나 진정효과는 탁월해요
42,42,껌딱지 시트 마스크 어성초 스티커,26,복합성,어제 2000원 올리브영에서 사서 바로 밖에서 붙히고 버스타고 집에온 결과 미세먼지와 싸우느라 고생한 내피부와 나한테 참 고맙고 아비브팩 만들어주신 개발 관계자님들 땡큐요 
43,43,껌딱지 시트 마스크 어성초 스티커,21,복합성,마스크팩 재질이 말랑말랑해서 신기했고 에센스 양이 듬뿍이라 정말 좋았어요 아침에 진정용으로 사용하기 딱 적당한 것 같네요 재구매 의사 500 있음 
44,44,껌딱지 시트 마스크 어성초 스티커,21,복합성,이번 올리브영 세일로 5개입 9000원에 구매했습니다 먼저 시트가 정말 처음 느껴보는 감촉이었어요 누드 겔 타입이랑 면 타입을 반반 섞어놓은 느낌 그래서 그런지 밀착이 더욱 잘되고 면 타입의 단점과 누드 겔 타입 단점을 서로 보완해주는 것 같았어요 안에 에센스도 듬뿍 들어있어서 걱정없이 얼굴에 펴바를 수 있어 너무 좋았어요 아쉬운 점이 있다면 저처럼 얼굴 크기가 크신 분들에게는 작을 수 있어요 세로는 맞는 반면 가로는 세로에 비해 많이 작더라구요 그 점만 빼면 너무 만족스러운 제품이었어요
45,45,껌딱지 시트 마스크 어성초 스티커,30,건성,올리브영에서 세일할 때 반값에 구매했습니다 그래도 여전히 비싸지만 장점 시트가 엄청 엄청 얇고 부드러움 밀착 굿굿 진정효과 다음날 있었음 에센스가 많음 단점 무향 시트가 엄청 얇아서 에센스가 얼굴에 부칠 대 줄줄 흐름 조금 더 장기간 사용해보고 리뷰 업데이트 하겠숨도 
46,46,껌딱지 시트 마스크 어성초 스티커,30,복합성,진짜 아비브 비싸지만 비싼값하고 너무 시트가 밀착이 좋아서 편해요 정말 피부 촘촘히 밀착해서 에센스를 꽈악 잡아주고 안에서 에센스를 다 먹으면 또 마스크외부에 남아있는 에센스까지 쪽쪽 갖구와서 피부 호강해여 어성초가 제일 유명하지만 저는 어성초보다 밀크다 더 좋았어요 진짜 제대로 보습 어성초가 수분진정이라면 밀크는 수분보습 밀크도 꼭 써보세요 
47,47,껌딱지 시트 마스크 어성초 스티커,22,건성,너무 좋아요 이거 한 날에는 작은 좁쌀들 거의 가라앉고 에센스도 많이 들어 있어서 듬뿍 발라주기 좋아요 좁쌀 진정에 젤 효과 많이 봐서 올리브영 세일 때 쟁여두기 딱이에요
48,48,껌딱지 시트 마스크 어성초 스티커,26,복합성,인생 마스크팩 조금 비싸도 이거 하고나면 피부 너무 좋아져요
49,49,껌딱지 시트 마스크 어성초 스티커,30,복합성,이제까지 써본 팩 중 원탑 초초초민감 홍조 열감 있는 피부인데 잘 맞았고 진정도 잘 돼요 올영 세일하면 꼭 사는템 세일 할 때 구매하세요
50,50,껌딱지 시트 마스크 어성초 스티커,37,복합성,얼굴에 트러블이 올라올깨 가을겨울용으로 종종 사용해요 세일때 구매하먄 더 좋아요
51,51,껌딱지 시트 마스크 어성초 스티커,29,건성,악건성이라 마스크팩해도 건조할때가 잇는데 이게 딱 그런마스크 왤케 유명한지 모르겟숨 20장 다발로 삿는데 촉촉하긴하나 조금 지나면 속당김이 잇어서 오일을 꼭 같이 발라줘야햇다 에센스양은 적당했고 그냥 완전 악건성은 안맞는걸로오 피부결은 약간 정돈되는것 같음
52,52,껌딱지 시트 마스크 어성초 스티커,26,건성,요즘 트러블이 너무 심한데 붙이면 트러블이 확실히 진정되요 
53,53,껌딱지 시트 마스크 어성초 스티커,25,건성,내 최애 시트 마스크 팩 진정효과가 완전 좋아서 홍조랑 트러블 진정에 많은 도움이 되었어요 그리고 속건조가 심해서 마스크팩을 해도 크림은 필수였는데 아비브 어성초 팩 사용하면 크림을 바르지 않아도 수분감이 다음날까지 가서 쟁여놓고 사용하구 있답니다 없으면 안되는 내 최애 마스크팩이에요 
54,54,껌딱지 시트 마스크 어성초 스티커,16,민감성,가격이 진짜 비싸서 꼭 세일할 때 구매하는 마스크팩인데 이름이 껌딱지인만큼 피부에 완전 달라붙어서 약간 저처럼 피부 답답한거 싫어하시는 분들은 불편하실 수 있을거라고 생각해요 안에 들어있는 앰플 양은 생각보다 넉넉했고 딱히 효과는 모르겠어요 보습력이 좋다 이 정도입니다 
55,55,껌딱지 시트 마스크 어성초 스티커,23,지성,말그대로 짱짱이에요 시트가 껌딱지처럼 딱 붙어있어서 밀착력도 너무 좋고 내용물도 많아서 남은건 목에 발라주고있어요 하고나면 다음날까지 피부가 쫀쫀하고 조아요
56,56,껌딱지 시트 마스크 어성초 스티커,26,중성,얼굴에 트러블 올라올때 쓰면 딱이에요 금방 진정되요 에센스 양도 많고 쓰고 나면 피부가 바로 촉촉해져서 좋았어요 세일할때 아니면 못사요 가격대가 조금 저렴했으면 좋을텐데 
57,57,껌딱지 시트 마스크 어성초 스티커,25,복합성,믿고 쓰는 아비브 저 트러블 엄청 올라왔을때 이거 쓰고 확 가라앉았어요 순하고 촉촉하고 딱 좋아요 민감성 피부이신 분들께 특히 추천 드립니다 붉은 끼랑 트러블에 좋은 것 같아여 
58,58,껌딱지 시트 마스크 어성초 스티커,21,복합성,완전 착 달라붙는 맛이 있어요 붙였을 때 정말 부드럽게 착 딜라붙어서 시트 재질이 좋다는게 한번에 느껴지더라구요 맨질맨질하구 부드러워요 하고 나서 보니까 사실 막 극적인 변화는 없지만 피부가 조금은 진정됐다구 느껴졌어요 안에 앰플 양도 충분해서 촉촉하게 쓸 수 있었습니당 그치만 아쉬운건 눈 위치가 약간 안맞았어요 눈 바깥부분이 조금 구멍이 작게 뚤려있어서 얼굴이 진짜 작은 사람들만 위치 제대로 잡을 것 같은 느낌 혹은 눈코입이 몰려있거나 그랬습니당 
59,59,껌딱지 시트 마스크 어성초 스티커,23,복합성,촉촉하고 얇아요 엄청난 효과를 보진 못했지만 진정이 조금 되는것같고 세일할때를 노려서 사야할것같아요 정가주고 사기엔 가성비가 별로인듯해요 
60,60,껌딱지 시트 마스크 어성초 스티커,25,민감성,워낙 유명하고 인기도 많은 팩이라 궁금한 마음에 처음엔 한두장 사서 써보다가 마음에 들어 세일할 때 여러 장으로 구매하게 되었습니다 어성초 추출물이 여드름 피부 진정에 도움을 주고 트러블 완화 효과가 있어서 저는 피부 트러블이 심한 날 위주로 쓰고 있어요 에센스도 충분히 많이 들어있어서 남은 에센스로 또 팩을 해도 될 정도였던거 같아요 시트지를 얼굴에 붙여보면 왜 껌딱지팩이라 하는지 딱 알 수 있을만큼 밀착력이 굉장히 좋아서 얇게 잘 밀착됩니다 다른 팩들은 보통 얼굴에 붙여두고 누워있어야 편한데 이 팩은 얼굴에 올려두고 앉아있어도 잘 달라붙어 있어서 좋더라구요 극세사 시트여서 그런지 시트지가 촘촘합니다 그만큼 흡수력도 좋고 보습과 진정 효과를 볼 수 있어서 좋아요 다음에도 세일할 때 재구매할 생각입니다 
61,61,껌딱지 시트 마스크 어성초 스티커,32,복합성,추천받아 구매해서 한통 다 썼어요 촉촉하고 에센스 양도 많고 좋아요 트러블 때문에 샀고 솔직히 더 심해지진 않았는데 별로 효과가 있던 것 같진 않아요 
62,62,껌딱지 시트 마스크 어성초 스티커,26,복합성,촉촉하고 진정잘되서 좋아요 그런데 가격대가 조금 더 저렴하면 좋을 거 같네요
63,63,껌딱지 시트 마스크 어성초 스티커,42,민감성,피부과 레이져 받고 난 후 자기전 아비브 한 장이면 피부 구원템이예요 메디힐마스크팩 주로 쓰다가 바꿨는데 너무 순하고 좋어요 일단 제 피부는 홍조가 있는 민감한 복합성 피부인데 팩 휴에는 열감이 줄어들고 볼 부위 홍조가 개선되는 느낌이예요 너무 얇아서 팩 얹을 때 조금 번거롭지만 그것 빼곤 아주 좋은 제품입니다 꾸준히 써볼게요 
64,64,껌딱지 시트 마스크 어성초 스티커,26,복합성,좋다고유명해서샀능데걍그럼 민감성 건성 피부에 딱이긴한디 시트도 넘작고 설명처럼 늘어나지도않음 에센스도 넘 많아서 다흐르고 불편 시트가 뭔가 다른거 같긴한데 에센스가 많이 묻어있다보니깐 다른일반마스크팩이랑 차이점을 모르겟음 가격도비싸고 갠적으로 같은 가격이라면 시트가 특이했던 독도마스크팩이 더조흔거같움 
65,65,껌딱지 시트 마스크 어성초 스티커,21,복합성,작다는 리뷰가 많은데 전혀 안 작았어요 오히려 전 남았네요 얼굴 크기 개인차가 있어서 다를 수가 있습니다 저는 팩을 하고 피부가 뒤집어지지 않은 적이 단 한 번도 없었는데 이 팩이 유일하게 뒤집어지지 않고 오히려 피부가 많이 진정됐어요 유명해서 샀는데 실망없이 너무 좋았어요 저는 5개 한 번에 구매했는데 벌써 다 써서 또 재구매하려고용 순해서 좋아요 
66,66,껌딱지 시트 마스크 어성초 스티커,25,민감성,원래 마스크 팩은 메디힐이나 듀이트리꺼만 썼어요 근데 올리브영에서 듀이트리 팩 사려고 했는데 올영 직원 분이 진정효과 원하시면 지금 세일 하고 있는 아비브꺼 사라고 추천해주셔서 직원분 믿고 써봤는데 직원분이 왜 자신있게 추천해주셨는지 알 것 같아요 어성초 성분이 들어가 있어서 그런지 진정효과가 있더라구요 마스크팩 붙이면 쿨링감도 느껴지고 에센스 양도 많아서 팩을 15분 넘게 붙이고 있어도 얼굴이 마르는 느낌이 안들어요 에센스 함유량이 많아서 목 손 팔에 골고루 발라줘도 남을 정도에요 팩을 떼고난 뒤에도 나름 촉촉함이 잘 유지되는 것 같아요 특히 다음날 자고 일어난 뒤에 보면 얼굴이 많이 진정되고 부들부들 촉촉해진게 보입니다 그런데 제가 쏘쏘를 준건 바로 마스크 팩의 사이즈와 가격 때문입니다 일단 마스크 팩 사이즈가 저한테는 너무 작아요 눈 코 입 구멍도 좀 작은 것 같아요 그래서 항상 이마나 양볼 끝부분 턱 부분 등이 부족해요 근데 이건 개인차가 있을 것 같아요 참고로 저는 얼굴이 여자임에도 성인남성보다도 훨씬 큰 편입니다 이건 그냥 제 얼굴이 너무 커서 그런거겠죠 가격도 조금 비싸서 아쉬워요 근데 보니까 아비브라는 브랜드 자체가 클린뷰티 진정맛집으로 밀고 있는 느낌이라 그런지 다른 제품들도 가격이 비싼 편인 것 같더라구요 뭐 올리브영 같은 데서 세일도 많이 하고 효과도 있긴하지만 그래도 기존에 제가 쓰던 메디힐 듀이트리 티트리 팩에 비해 엄청난 효과가 있는 것 까지는 아니라서 이런 점들이 아쉬워서 쏘쏘줍니다 
67,67,껌딱지 시트 마스크 어성초 스티커,34,건성,어성초 정말 잘맞아요 어성초 성분이 진정에 도움이 많이되어서 팩도 어성초 주로 사용하는데 아비브 껌딱지 시트 시트지도 가볍구 얇아서 밀착력 너무 좋고 앰플 넉넉하고 붙이류 때면 붉은기도 바로 갈아앉아요 아쉬운건 세일을 해도 가격이 그리 착하지만은 안다는거 
68,68,껌딱지 시트 마스크 어성초 스티커,29,민감성,깔끔하고 싹 스며드는 마스크팩을 선호하다보니 취향에 잘 맞지 않았어요 이건 에센스도 엄청 많고 잘 흐르고 마른뒤에 끈적이는게 좋지 않았어요 예민 피부에도 붉어짐 화끈거림등의 피부염 반응은 없었지만 제품 사용 후 피부 요철이 두드러지고 좁쌀 여드름이 올라오는 등 피부랑 잘 맞지 않았어요 이후 연고나 약 없이 시간이 지나며 금새 가라 앉음 
69,69,껌딱지 시트 마스크 어성초 스티커,28,복합성,기존의 팩이랑 비슷하긴하지만 에센스도 정말 빵빵하게 들어 있고 진짜 촉촉해져요 아비브 제품 좋다고 해서 믿고 싸봤는데 정말 순하고 촉촉하고 사용하고 나면 피부가 쫀득해지는 느낌이에요 정말 만족 대만족 합니다 
70,70,껌딱지 시트 마스크 어성초 스티커,26,중성,피부상태 뒤집어지면 진정시키는데 정말 좋고 붉은기도 완화시켜줘요 껌딱지처럼 잘붙어있고 들뜨지 않고 당김없이 수분을 채워줘요 끈적임없고 에센스 흡수가 잘되어서 꾸준히 사용하니 촉촉하고 보습에도 좋아요 중요한날 하루전에 붙이고 자면 피부가 많이 진정되어 있어 정말 마음에 들어요 예민한 제 피부에 잘맞아서 쟁여놔요
71,71,껌딱지 시트 마스크 어성초 스티커,32,건성,할인할때 구매해서 진짜 가성비 좋아요 냄새는 별로지만 효과는 좋아요 시트지 얇은데 편해요 포장이 약간 좋이 느낌 개봉할때 기분 좋아요 피부 진정효과 짱 입니다 민감해진 피부 진정 붉은기 뜨거운피부 탄피부 진정효과 너무 좋아요 
72,72,껌딱지 시트 마스크 어성초 스티커,25,복합성,자기전에 하고 자는데 요즘 같은 시즌에는 좀 건조했어요 그래서 크림조금 얹어주고 아침에 일어나면 피부가 놀라울정도로 진정되어서 좋앙 
73,73,껌딱지 시트 마스크 어성초 스티커,33,건성,일단 에센스의 양이 엄청나요 팩하는 동안 계속 덧발라줘도 마르지 않아요 시트의 두께는 얇지 않고 크지 않아서 좋아요 피부 화끈거리는 날 붙여주면 좀 시원하고 피부 진정시키는데 도움돼요 다음날 피부 편한게 느껴지더라구요 사람들이 많이 쓰는덴 이유가 있는거같아요 단점이라면 눈 입 구멍이 좀 작은거 눈에 들어갈까봐 신경이 쓰였어요 그리고 가격이 좀 비싸니 무조건 할인 할 때 사는게 좋아요 
74,74,껌딱지 시트 마스크 어성초 스티커,28,중성,에센스양 어마어마하고 시트가 얼굴에 착 붙어요 피부에 건조하고 머가 좀 날때마다 하는데 그때마다 하고나서 화장도 다음날 잘먹고 완전 강추템입니다 아비브는 마스크팩맛집인듯 
75,75,껌딱지 시트 마스크 어성초 스티커,25,건성,시트 사이즈가 다른 마스크에 비해서 작은 편은 맞는데 그렇다고 얼굴을 다 못 덮을 정도는 아니에요 시트가 막 얇진 않은데 얼굴에 챡 달라붙고 진정에 확실한 도움을 받아서 매번 재구매하게 되네요
76,76,껌딱지 시트 마스크 어성초 스티커,27,복합성,말그대로 시트가 얼굴에 껌딱지마냥 붙어있어요 에센스 양은 말해뭐합니까 넉넉하다못해 흐르구요 다만 시트에서 냄새가나는건지 어성초 특유의 향인건지 화학적인 향이 좀 있더라구요 그 점 빼면 아주 만족스러운 마스크팩이었어요 
77,77,껌딱지 시트 마스크 어성초 스티커,32,건성,올영 갔다가 아무생각 없이 산 제품 피부가 워낙 예민해서 마스크팩 잘못하면 얼굴 가렵고 따갑고 난리나는데 이건 하나도 그런게 없구 피곤해서 살짝 올라온 뾰루지들이 가라앉았음 그뒤로 올영가면 몇개씩 쟁여놓음
